Mammals,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,
96,Helmeted Hornbill,Buceros vigil,Asia,E,N
97,Japanese Crested Ibis,Nipponia nippon,Asia,E,N
98,Northern Bald Ibis,Geronticus eremita,"Europe, Asia, Africa",E,Y
99,Florida Scrub-Jay,Aphelocoma coerulescens,North America,T,N
100,Kagu,Rhynochetos jubatus,Australia,E,N
101,Kakapo,Strigops habroptila f,Australia,E,N
102,Mauritius kestrel,Falco punctatus,Africa,E,N
103,Seychelles kestrel,Falco araea,Africa,E,N
104,Guam Micronesian kingfisher,Halcyon cinnamomina cinnamomina,North America,E,N
105,Cuba hook-billed kite,Chondrohierax uncinatus wilsonii,"Asia, South America",E,N
106,Everglade Snail Kite,Rostrhamus sociabilis plumbeus,"North America, South America",E,N
107,Grenada hook-billed kite,Chondrohierax uncinatus mirus,Asia,E,N
108,Kokako (wattlebird),Callaeas cinerea,Australia,E,N
109,Raso lark,Alauda razae,Africa,E,N
110,Glaucous Macaw,Anodorhynchus glaucus,South America,E,N
111,Indigo macaw,Anodorhynchus leari,South America,E,N
112,Little blue macaw,Cyanopsitta spixii,South America,E,Y
113,Seychelles Magpie Robin (thrush),Copsychus sechellarum,Africa,E,N
114,Ibadan Malimbe,Malimbus ibadanensis,Africa,E,N
,,,,,
For other formats kindly visit : www.downloadexcelfiles.com,,,,,
,,,,,
Original source,,,,,
