Mammals,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,
90,Dugong,Dugong dugon,"Africa, Asia, North America",E,
91,Jentink's duiker,Cephalophus jentinki,Africa,E,
92,Western giant eland,Taurotragus derbianus derbianus,Africa,E,
93,African elephant,Loxodonta africana,Africa,T,
94,Asian elephant,Elephas maximus,Asia,E,
95,Black-footed ferret,Mustela nigripes,North America,E,
96,Northern swift fox,Vulpes velox hebes,North America,E,
97,San Joaquin Kit Fox,Vulpes macrotis mutica,North America,E,
98,San Miguel Island fox,Urocyon littoralis littoralis,North America,E,
99,Santa Catalina Island fox,Urocyon littoralis catalinae,North America,E,
100,Santa Cruz Island fox,Urocyon littoralis santacruzae,North America,E,
101,Santa Rosa Island fox,Urocyon littoralis santarosae,North America,E,
102,Simien fox,Canis simensis,Africa,E,
103,Arabian gazelle,Gazella gazella,Asia,E,
104,Clarke's gazelle,Ammodorcas clarkei,Africa,E,
105,Mhorr gazelle,Gazella dama mhorr,Africa,E,
106,Moroccan gazelle,Gazella dorcas massaesyla,Africa,E,
107,Mountain gazelle (Cuvier's),Gazella cuvieri,Africa,E,
108,Pelzeln's gazelle,Gazella dorcas pelzelni,Africa,E,
109,Rio de Oro Dama gazelle,Gazella dama lozanoi,Africa,E,
110,Sand Gazelle,Gazella subgutturosa marica,"Africa, Asia",E,
111,Saudi Arabian gazelle,Gazella dorcas saudiya,"Africa, Asia",E,
112,Slender-horned gazelle,Gazella leptoceros,Africa,E,
113,Gibbons,"Hylobates, Nomascus, Hoolock, Symphalanges",Asia,E,
114,Gray Goral,Naemorhedus goral,Asia,E,
115,Gorillas,Gorilla spp.,Africa,E,
116,Hispid hare,Caprolagus hispidus,Asia,E,
117,Swayne's Hartebeest,Alcelaphus buselaphus swaynei,Africa,E,
118,Tora Hartebeest,Alcelaphus buselaphus tora,Africa,E,
119,Pygmy hog,Sus salvanius,"Africa, Asia",E,
120,Przewalski's horse,Equus przewalskii,Asia,E,
121,North Andean huemul,Hippocamelus antisensis,South America,E,
122,South Andean Huemul,Hippocamelus bisulcus,South America,E,
123,Cabrera's hutia,Capromys angelcabrerai,South America,E,
124,Dwarf Hutia,Capromys nana,South America,E,
125,Large-eared Hutia,Capromys auritus,South America,E,
126,Little Earth Hutia,Capromys sanfelipensis,South America,E,
127,Barbary hyena,Hyaena hyaena barbara,Africa,E,
128,Brown hyena,Parahyaena (Hyaena) brunnea,Africa,E,
129,Pyrenean ibex,Capra pyrenaica pyrenaica,Europe,E,
130,Walia Ibex,Capra walie,Africa,E,
131,Black-faced impala,Aepyceros melampus petersi,Africa,E,
132,Indri,Indri indri,Africa,E,
133,Jaguar,Panthera onca,"North America, South America",E,
134,Guatemalan jaguarundi,Puma yagouaroundi fossata,"North America, South America",E,
135,Gulf Coast Jaguarundi,Puma yagouarondi cacomitli,North America,E,
136,Panamanian Jaguarundi,Puma yagouaroundi panamensis,South America,E,
137,Sinaloan Jaguarundi,Puma yagouaroundi tolteca,North America,E,
138,Fresno Kangaroo Rat,Dipodomys nitratoides exilis,North America,E,
139,Giant kangaroo rat,Dipodomys ingens,North America,E,
140,Morro Bay kangaroo rat,Dipodomys heermanni morroensis,North America,E,
141,San Bernardino Merriam's kangaroo rat,Dipodomys merriami parvus,North America,E,
142,Stephens's Kangaroo Rat,Dipodomys stephensi (incl. D. cascus),North America,E,
143,Tipton kangaroo rat,Dipodomys nitratoides nitratoides,North America,E,
144,Tasmanian forester kangaroo,Macropus giganteus tasmaniensis,Australia,E,
145,Koala,Phascolarctos cinereus,Australia,T,
146,Kouprey,Bos sauveli,Asia,E,
147,Capped Langur,Trachypithecus pileatus,Asia,E,
148,Red-shanked Douc,Pygathrix nemaeus,Asia,E,
149,Francois' Langur,Trachypithecus francoisi,Asia,E,
150,Gee's Golden Langur,Trachypithecus geei,Asia,E,
151,Gray langurs,Semnopithecus spp.,Asia,E,
152,Mentawai Langur,Presbytis potenziani,Asia,T,
153,Pig-tailed Langur,Simias concolor,Asia,E,
154,Purple-faced Langur,Trachypithecus vetulus,Asia,T,
155,Red lechwe,Kobus leche,Africa,T,
156,Lemurs,all genera in the Lemuriformes),Africa,E,
157,Leopard,Panthera pardus,"Africa, Asia",E,
159,Clouded Leopard,Neofelis nebulosa,Asia,E,
160,Snow Leopard,Uncia uncia,Asia,E,
161,Spotted linsang,Prionodon pardicolor,Asia,E,
162,Asiatic lion,Panthera leo persica,Asia,E,
163,Pygmy Slow Loris,Nycticebus pygmaeus,Asia,T,
164,Canada lynx,Lynx canadensis,North America,T,
165,Spanish lynx,Felis pardina,Europe,E,
166,Formosan Rock Macaque,Macaca cyclopis,Asia,T,
167,Japanese Macaque,Macaca fuscata,Asia,T,
168,Lion-tailed Macaque,Macaca silenus,India,E,
169,Stump-tailed Macaque,Macaca arctoides,Asia,T,
170,Toque Macaque,Macaca sinica,Asia,T,
171,Amazonian Manatee,Trichechus inunguis,South America,E,
172,West African manatee,Trichechus senegalensis,Africa,T,
173,West Indian manatee,Trichechus manatus,"North America, South America",E,
174,Mandrill,Mandrillus sphinx,Africa,E,
175,Tana River Mangabey,Cercocebus galeritus,Africa,E,
176,Collared Mangabey,Cercocebus torquatus,Africa,E,
177,Margay,Leopardus (Felis) wiedii,North America,E,
178,Chiltan Markhor (wild goat),Capra falconeri (aegragrus) chiltanensis,Asia,E,
179,Kabul markhor,Capra falconeri megaceros,Asia,E,
180,Straight-horned Markhor,Capra falconeri jerdoni,Asia,E,
181,Buffy-headed Marmoset,Callithrix (Callithrix) flaviceps,South America,E,
182,Cottontop Tamarin,Saguinus oedipus,South America,E,
183,Goeldi's Marmoset,Callimico goeldii,South America,E,
184,Buffy-tufted Marmoset,Callithrix (Callithrix) aurita,South America,E,
185,Vancouver Island Marmot,Marmota vancouverensis,North America,E,
186,Eastern jerboa marsupial,Antechinomys laniger,Australia,E,
187,Large desert marsupial-mouse,Sminthopsis psammophila,Australia,E,
188,Long-tailed marsupial-mouse,Sminthopsis longicaudata,Australia,E,
189,Formosan yellow-throated marten,Martes flavigula chrysospila,Asia,E,
190,Black Colobus,Colobus satanas,Africa,E,
191,Guatemalan Black Howler,Alouatta pigra,South America,T,
192,Diana Monkey,Cercopithecus diana,Africa,E,
193,Gray Snub-nosed Monkey,Rhinopithecus brelichi,Asia,E,
194,L'Hoest's Monkey,Cercopithecus lhoesti,Africa,E,
195,Mantled Howler,Alouatta palliata,"North America, South America",E,
196,Preuss's Red Colobus,Piliocolobus preussi,Africa,E,
197,Proboscis Monkey,Nasalis larvatus,Asia,E,
198,Central American Squirrel Monkey,Saimiri oerstedii,South America,E,
199,White-throated Guenon,Cercopithecus erythrogaster,Africa,E,
200,Red-eared Guenon,Cercopithecus erythrotis,Africa,E,
201,Golden Snub-nosed Monkey,Rhinopithecus roxellana,Asia,E,
202,Geoffroy's Spider Monkey,Ateles geoffroyi,South America,E,
203,Tana River Red Colobus,Piliocolobus rufomitratus,Africa,E,
204,Tonkin Snub-nosed Langur,Rhinopithecus avunculus,Asia,E,
205,Southern Muriqui,Brachyteles arachnoides,South America,E,
206,Yellow-tailed Woolly Monkey,Oreonax flavicauda,South America,E,
207,Black Snub-nosed Monkey,Rhinopithecus bieti,Asia,E,
208,Zanzibar Red Colobus,Piliocolobus kirkii,Africa,E,
209,Point Arena mountain beaver,Aplodontia rufa nigra,North America,E,
210,Alabama beach mouse,Peromyscus polionotus ammobates,North America,E,
211,Anastasia Island beach mouse,Peromyscus polionotus phasma,North America,E,
212,Australian native mouse,Notomys aquilo,Australia,E,
213,Australian native mouse,Zyzomys pedunculatus,Australia,E,
214,Choctawhatchee Beach Mouse,Peromyscus polionotus allophrys,North America,E,
215,Field's mouse,Pseudomys fieldi,Australia,E,
216,Gould's mouse,Pseudomys gouldii,Australia,E,
217,Key Largo cotton mouse,Peromyscus gossypinus allapaticola,North America,E,
218,New Holland Mouse,Pseudomys novaehollandiae,Australia,E,
219,Pacific pocket mouse,Perognathus longimembris pacificus,North America,E,
220,Perdido Key Beach Mouse,Peromyscus polionotus trissyllepsis,North America,E,
221,Preble's meadow jumping mouse,Zapus hudsonius preblei,North America,T,
222,Salt marsh harvest mouse,Reithrodontomys raviventris,North America,E,
223,Shark Bay Mouse,Pseudomys praeconis,Australia,E,
224,Shortridge's Mouse,Pseudomys shortridgei,Australia,E,
225,Smoky Mouse,Pseudomys fumeus,Australia,E,
226,Southeastern beach mouse,Peromyscus polionotus niveiventris,North America,T,
227,St. Andrew beach mouse,Peromyscus polionotus peninsularis,North America,E,
228,Western Mouse,Pseudomys occidentalis,Australia,E,
229,Fea's muntjac,Muntiacus feae,Asia,E,
230,Eastern native-cat,Dasyurus viverrinus,Australia,E,
231,Numbat,Myrmecobius fasciatus,Australia,E,
232,Ocelot,Leopardus (Felis) pardalis,"North America, South America",E,
233,Bornean Orangutan,Pongo pygmaeus,Asia,E,
234,Arabian oryx,Oryx leucoryx,Asia,E,
235,Cameroon Clawless Otter,Aonyx congicus (congica) microdon,Africa,E,
236,Giant otter,Pteronura brasiliensis,South America,E,
237,Long-tailed otter,Lontra (Lutra) longicaudis (incl. platensis),South America,E,
238,Marine otter,Lontra (Lutra) felina,South America,E,
239,Southern river otter,Lontra (Lutra) provocax,South America,E,
240,Southern sea otter,Enhydra lutris nereis,North America,T,
241,Giant panda,Ailuropoda melanoleuca,Asia,E,
242,Temnick's ground pangolin,Manis temminckii,Africa,E,
243,Florida panther,Puma concolor coryi,North America,E,
244,Little planigale,Planigale ingrami subtilissima,Australia,E,
245,Southern planigale,Planigale tenuirostris,Australia,E,
246,Thin-spined porcupine,Chaetomys subspinosus,Asia,E,
247,Leadbeater's possum,Gymnobelideus leadbeateri,Australia,E,
248,Mountain Pygmy Possum,Burramys parvus,Australia,E,
249,Scaly-tailed Possum,Wyulda squamicaudata,Australia,E,
250,Mexican Prairie Dog,Cynomys mexicanus,North America,E,
251,Utah prairie dog,Cynomys parvidens,North America,T,
252,Peninsular pronghorn,Antilocapra americana peninsularis,North America,E,
253,Sonoran pronghorn,Antilocapra americana sonoriensis,North America,E,
254,Pud�,Pudu pudu,South America,E,
255,Eastern Cougar,Puma concolor couguar,North America,E,
256,Cougar (mountain lion),Puma concolor (all subsp. except coryi),"North America, South America",T(S/A),
257,Costa Rican Cougar,Puma concolor costaricensis,South America,E,
258,Quokka,Setonix brachyurus,Australia,E,
259,Lower Keys Marsh Rabbit,Sylvilagus palustris hefneri,North America,E,
260,Pygmy rabbit,Brachylagus idahoensis,North America,E,
261,Riparian Brush Rabbit,Sylvilagus bachmani riparius,North America,E,
262,Ryukyu Rabbit,Pentalagus furnessi,Asia,E,
263,Volcano rabbit,Romerolagus diazi,North America,E,
264,False Water Rat,Xeromys myoides,Australia,E,
265,Stick-nest rat,Leporillus conditor,Australia,E,
266,Brush-tailed rat-kangaroo,Bettongia penicillata,Australia,E,
267,Desert Rat-kangaroo (plain),Caloprymnus campestris,Australia,E,
268,Gaimard's rat-kangaroo,Bettongia gaimardi,Australia,E,
269,Lesueur's rat-kangaroo,Bettongia lesueur,Australia,E,
270,Queensland rat-kangaroo,Bettongia tropica,Australia,E,
271,Black rhinoceros,Diceros bicornis,Africa,E,
